35 46 24
2134 5329 1123
4 D
79 D
87 L
44 L
14 R
89 D
51 R
91 R
48 U
10 R
84 R
18 L
78 L
61 D
70 U
30 L
34 D
48 D
12 D
90 L
24 D
15 L
23 L
88 U
9 D
94 R
44 U
58 D
100 L
51 R
85 U
70 D
92 L
88 U
88 D
88 U
8 D
96 U
36 R
35 U
41 R
17 U
11 U
64 R
39 D
96 D
64 D
29 R
30 D
50 D
31 R
9 L
26 U
80 L
27 D
22 D
94 L
74 U
91 R
62 D
96 U
13 R
0 R
80 D
72 U
94 L
13 U
88 R
3 U
62 U
49 L
10 R
81 D
9 U
73 U
73 R
38 D
1 D
68 L
86 L
16 D
5 R
81 R
61 U
8 L
42 D
16 R
65 U
47 U
36 D
77 L
13 D
10 L
65 L
78 L
57 D
19 R
15 U
29 L
82 E
