14 25 36
1231 -1231 -1231
1 U
34 R
21 U
63 U
11 R
15 D
27 D
56 L
49 U
96 D
42 R
16 D
50 R
96 R
32 R
5 D
11 L
85 D
2 R
58 R
31 R
3 D
87 L
37 L
68 U
54 R
45 D
6 D
64 L
58 U
15 L
70 L
38 R
51 R
85 L
89 L
34 L
70 U
2 R
100 R
63 D
38 L
28 U
34 D
96 L
100 L
5 R
48 D
37 L
72 D
44 D
47 U
46 D
45 D
50 U
51 U
38 L
62 L
48 D
88 D
62 U
80 R
12 U
34 U
74 D
85 U
51 D
54 R
67 L
34 R
49 D
93 R
11 R
2 U
11 D
2 L
95 R
65 R
21 D
99 U
52 R
5 D
94 R
43 D
46 U
35 L
33 U
31 U
54 L
4 U
98 D
0 R
29 U
17 R
41 U
42 L
37 R
28 D
49 R
99 E
