0 0 0
1001 1010 1100
0 D
0 U
0 R
0 R
0 U
0 L
0 L
0 D
0 R
0 D
0 U
0 R
0 D
0 U
0 L
0 D
0 R
0 D
0 D
0 L
0 D
0 L
1 U
0 D
0 D
0 D
0 L
0 R
0 U
0 D
0 D
0 U
0 D
0 R
0 L
0 D
0 U
0 L
0 D
0 R
0 R
0 U
10 L
0 R
0 L
0 L
0 U
0 D
0 U
0 D
0 R
0 R
0 D
0 R
0 D
0 L
0 R
0 L
0 U
0 L
0 U
0 L
0 U
0 R
0 R
0 U
0 R
0 D
0 D
0 R
0 U
0 D
0 U
0 R
0 R
0 D
0 U
0 U
0 U
0 L
0 D
0 U
0 D
0 R
0 D
0 D
0 D
0 U
0 R
0 D
0 D
0 L
0 D
0 L
0 R
0 D
0 L
0 D
0 U
100 E
