0 0 0
10000 -10000 10000
62 L
93 R
24 L
51 R
7 U
27 L
100 R
73 L
48 R
59 U
27 R
76 U
52 R
20 R
60 L
59 D
64 D
93 D
58 D
51 R
80 D
39 D
34 R
10 D
85 R
63 L
76 D
90 D
81 L
98 L
64 D
65 D
73 L
89 U
38 L
41 D
46 L
26 U
35 U
53 L
24 D
75 U
32 D
100 D
65 R
60 R
54 D
13 R
86 R
43 U
8 U
82 L
67 R
48 D
60 R
100 L
46 D
53 R
13 D
16 U
67 U
37 L
97 L
45 L
19 R
23 R
79 U
62 D
77 U
2 L
58 R
15 R
67 D
77 R
34 L
40 D
23 U
71 U
88 L
16 L
63 L
66 L
64 D
5 L
27 U
8 D
22 L
73 L
59 D
68 L
37 R
94 D
33 D
52 U
79 U
90 L
22 L
42 U
55 D
95 E
